possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
WPG,1,1,10.0,68.0,1784,0.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 2 yards gain to the WPG44 (#95 D.Wiggan),6401,1-1	,Long (8+),Own Territory,Tied,Early Half
WPG,1,2,8.0,66.0,1746,0.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short left to #10 N.Demski thrown to WPG52,6401,1-2	,Long (8+),Own Territory,Tied,Early Half
MTL,1,1,10.0,95.0,1706,0.0,0,Nothing,Shotgun #85 T.Snead rush right for 5 yards gain to the MTL20 (#37 B.Alexander),6401,2-1	,Long (8+),Own Deep,Tied,Early Half
MTL,1,2,5.0,90.0,1671,0.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #14 C.Rambo caught at MTL23, for 4 yards to the MTL24 (#24 T.Bonds)",6401,2-2	,Medium (4-7),Own Deep,Tied,Early Half
WPG,1,1,10.0,63.0,1601,0.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 6 yards gain to the WPG53 (#0 S.Lemon),6401,3-1	,Long (8+),Own Territory,Tied,Early Half
WPG,1,2,4.0,57.0,1561,0.0,1,LossOfYards,Shotgun #8 Z.Collaros sacked for loss of 8 yards to the WPG45 (#0 S.Lemon),6401,3-2	,Medium (4-7),Midfield,Tied,Early Half
MTL,1,1,10.0,59.0,1505,0.0,0,Nothing,Shotgun #25 W.Fletcher rush left for 0 yards to the MTL51 (#95 J.Thomas),6401,4-1	,Long (8+),Midfield,Tied,Early Half
MTL,1,2,10.0,59.0,1467,0.0,1,Interception,Shotgun #7 C.Fajardo pass intercepted by #41 B.Cole at MTL50 #41 B.Cole return 30 yards to the MTL20 (#11 K.Julien-Grant),6401,4-2	,Long (8+),Midfield,Tied,Early Half
WPG,1,1,10.0,20.0,1438,0.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short left to #89 K.Lawler thrown to MTL21,6401,5-1	,Long (8+),Red Zone,Tied,Early Half
WPG,1,2,10.0,20.0,1423,0.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #89 K.Lawler caught at MTL15, for 8 yards to the MTL12 (#8 N.Lyon)",6401,5-2	,Long (8+),Red Zone,Tied,Early Half
WPG,1,3,2.0,12.0,1376,0.0,0,Nothing,"#17 C.Streveler rush middle for 2 yards gain to the MTL10 (#1 D.Sankey), 1ST DOWN",6401,5-3	,Short (1-3),Red Zone,Tied,Early Half
WPG,1,1,10.0,10.0,1324,0.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete deep left to #83 D.Schoen thrown to MTL-10,6401,5-4	,Long (8+),Red Zone,Tied,Early Half
WPG,1,2,10.0,10.0,1305,0.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete deep left to #89 K.Lawler thrown to MTL-17,6401,5-5	,Long (8+),Red Zone,Tied,Early Half
MTL,1,1,10.0,70.0,1273,-3.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete short left to #85 T.Snead thrown to MTL46,6401,6-1	,Long (8+),Own Territory,Trailing 1-7,Early Half
