possession_team,down,distance_bucket,field_bucket,score_bucket,time_bucket,plays,pass_prob_hist,avg_yards,avg_yards_to_endzone,avg_score_diff,avg_seconds_in_half,league_plays,league_pass_prob_hist,pass_prob_delta_vs_league
BC,1,Long (8+),Midfield,Leading 1-7,2-min,1,0.0,10.0,45.0,6.0,88.0,33,0.48484848484848486,-0.48484848484848486
BC,1,Long (8+),Midfield,Leading 1-7,Early Half,18,0.5555555555555556,10.0,49.55555555555556,5.0,1171.388888888889,166,0.5180722891566265,0.03748326639892907
BC,1,Long (8+),Midfield,Leading 1-7,Late Half,8,0.5,10.0,52.0,5.625,213.25,97,0.5154639175257731,-0.015463917525773141
BC,1,Long (8+),Midfield,Leading 8+,2-min,5,1.0,10.0,50.6,14.8,41.0,47,0.574468085106383,0.42553191489361697
BC,1,Long (8+),Midfield,Leading 8+,Early Half,17,0.5882352941176471,10.0,51.88235294117647,15.117647058823529,1077.764705882353,118,0.5677966101694916,0.02043868394815551
BC,1,Long (8+),Midfield,Leading 8+,Late Half,10,0.6,10.0,51.2,14.2,269.9,44,0.5909090909090909,0.009090909090909038
BC,1,Long (8+),Midfield,Tied,2-min,1,0.0,10.0,45.0,0.0,42.0,14,0.7142857142857143,-0.7142857142857143
BC,1,Long (8+),Midfield,Tied,Early Half,17,0.5882352941176471,10.0,52.588235294117645,0.0,1493.235294117647,146,0.5068493150684932,0.0813859790491539
BC,1,Long (8+),Midfield,Tied,Late Half,2,1.0,10.0,50.0,0.0,367.5,18,0.6666666666666666,0.33333333333333337
BC,1,Long (8+),Midfield,Trailing 1-7,2-min,6,1.0,10.0,51.5,-3.1666666666666665,63.333333333333336,68,0.8970588235294118,0.1029411764705882
BC,1,Long (8+),Midfield,Trailing 1-7,Early Half,25,0.68,10.0,50.92,-4.44,1114.6,219,0.5981735159817352,0.08182648401826487
BC,1,Long (8+),Midfield,Trailing 1-7,Late Half,13,0.46153846153846156,10.0,52.0,-3.923076923076923,257.2307692307692,87,0.6206896551724138,-0.15915119363395225
BC,1,Long (8+),Midfield,Trailing 8+,2-min,5,0.8,10.0,52.2,-13.4,65.4,69,0.8985507246376812,-0.09855072463768111
BC,1,Long (8+),Midfield,Trailing 8+,Early Half,10,0.8,10.0,49.4,-13.5,1063.1,152,0.6710526315789473,0.1289473684210527
BC,1,Long (8+),Midfield,Trailing 8+,Late Half,6,1.0,10.0,51.0,-12.5,272.6666666666667,96,0.7708333333333334,0.22916666666666663
BC,1,Long (8+),Opponent Territory,Leading 1-7,2-min,2,0.5,10.0,27.5,3.5,91.0,18,0.6111111111111112,-0.11111111111111116
BC,1,Long (8+),Opponent Territory,Leading 1-7,Early Half,15,0.4666666666666667,10.333333333333334,32.53333333333333,4.933333333333334,1179.3333333333333,91,0.6043956043956044,-0.13772893772893768
BC,1,Long (8+),Opponent Territory,Leading 1-7,Late Half,4,0.25,10.0,31.75,4.5,440.0,55,0.45454545454545453,-0.20454545454545453
BC,1,Long (8+),Opponent Territory,Leading 8+,2-min,4,0.5,10.0,28.0,17.25,70.0,29,0.6206896551724138,-0.12068965517241381
BC,1,Long (8+),Opponent Territory,Leading 8+,Early Half,9,0.8888888888888888,10.0,28.555555555555557,14.777777777777779,1026.7777777777778,74,0.527027027027027,0.36186186186186187
BC,1,Long (8+),Opponent Territory,Leading 8+,Late Half,11,0.45454545454545453,10.909090909090908,30.454545454545453,14.181818181818182,299.8181818181818,42,0.40476190476190477,0.04978354978354976
BC,1,Long (8+),Opponent Territory,Tied,Early Half,7,0.5714285714285714,10.0,30.285714285714285,0.0,1493.857142857143,85,0.5529411764705883,0.018487394957983128
BC,1,Long (8+),Opponent Territory,Trailing 1-7,2-min,6,1.0,10.0,30.0,-4.0,52.333333333333336,39,0.8205128205128205,0.17948717948717952
BC,1,Long (8+),Opponent Territory,Trailing 1-7,Early Half,12,0.4166666666666667,10.0,32.166666666666664,-4.916666666666667,1121.3333333333333,136,0.5808823529411765,-0.16421568627450983
BC,1,Long (8+),Opponent Territory,Trailing 1-7,Late Half,2,0.0,10.0,37.5,-3.5,240.5,52,0.5576923076923077,-0.5576923076923077
BC,1,Long (8+),Opponent Territory,Trailing 8+,2-min,4,1.0,10.0,33.5,-10.75,57.25,44,0.8863636363636364,0.11363636363636365
BC,1,Long (8+),Opponent Territory,Trailing 8+,Early Half,7,0.5714285714285714,10.0,35.285714285714285,-14.142857142857142,1099.4285714285713,91,0.7032967032967034,-0.13186813186813195
BC,1,Long (8+),Opponent Territory,Trailing 8+,Late Half,8,0.5,10.0,32.875,-16.75,283.625,71,0.7887323943661971,-0.28873239436619713
BC,1,Long (8+),Own Deep,Leading 1-7,2-min,3,0.6666666666666666,10.0,94.66666666666667,3.3333333333333335,56.666666666666664,17,0.35294117647058826,0.31372549019607837
BC,1,Long (8+),Own Deep,Leading 1-7,Early Half,19,0.631578947368421,10.0,91.47368421052632,4.421052631578948,1187.421052631579,131,0.5038167938931297,0.1277621534752913
BC,1,Long (8+),Own Deep,Leading 1-7,Late Half,3,0.3333333333333333,10.0,93.66666666666667,4.0,339.0,44,0.3409090909090909,-0.007575757575757569
BC,1,Long (8+),Own Deep,Leading 8+,2-min,4,0.5,10.0,86.25,15.75,81.25,14,0.21428571428571427,0.2857142857142857
BC,1,Long (8+),Own Deep,Leading 8+,Early Half,17,0.5882352941176471,10.0,91.0,11.411764705882353,1098.4705882352941,67,0.5074626865671642,0.08077260755048288
BC,1,Long (8+),Own Deep,Leading 8+,Late Half,6,0.3333333333333333,10.333333333333334,101.33333333333333,18.833333333333332,177.0,47,0.3617021276595745,-0.028368794326241176
BC,1,Long (8+),Own Deep,Tied,2-min,1,0.0,10.0,81.0,0.0,64.0,8,0.625,-0.625
BC,1,Long (8+),Own Deep,Tied,Early Half,11,0.7272727272727273,10.0,92.36363636363636,0.0,1362.3636363636363,88,0.5909090909090909,0.13636363636363635
BC,1,Long (8+),Own Deep,Tied,Late Half,1,0.0,10.0,96.0,0.0,290.0,6,0.5,-0.5
